button_pressed,high_stakes,initial_points,multiplier,no_bonus,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,,,,,,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",1764.0,,,1221121,,survey-text,47
,,,,,,"{""Q0"":""None that I saw."",""Q1"":""awesome interface"",""Q2"":""""}",18925.0,,,553782,,survey-text,12
,,,,,,"{""Q0"":""no"",""Q1"":""none"",""Q2"":""none""}",15855.0,,,1127001,,survey-text,46
,,,,,,"{""Q0"":""yes"",""Q1"":""yes improve "",""Q2"":""no comments this good tesk""}",40383.0,,,946292,,survey-text,44
,,,,,,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",5127.0,,,1114966,,survey-text,35
,,,,,,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",2545.0,,,880540,,survey-text,37
,,,,,,"{""Q0"":""NO"",""Q1"":"""",""Q2"":""GOOD""}",11854.0,,,1757950,,survey-text,5
,,,,,,"{""Q0"":""No"",""Q1"":""Excellent so none"",""Q2"":""Thanks!""}",13160.0,,,1024750,,survey-text,39
,,,,,,"{""Q0"":""Nothing was confusing or hard to understand."",""Q1"":""No, everything seemed good."",""Q2"":""No.""}",34071.0,,,1074144,,survey-text,27
,,,,,,"{""Q0"":""NONE "",""Q1"":""NONE"",""Q2"":""NONE ""}",11709.0,,,1262874,,survey-text,8
,,,,,,"{""Q0"":""nope"",""Q1"":""no it was fun"",""Q2"":""""}",10447.0,,,968079,,survey-text,6
,,,,,,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""no""}",3212.0,,,512333,,survey-text,29
,,,,,,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""this was an interesting task""}",11906.0,,,798768,,survey-text,13
